generation,ave_Payoff
108,6.805782472137705E-5
109,6.782705859472557E-5
110,7.268920717244278E-5
111,7.122773660649292E-5
112,7.006699616886802E-5
113,6.913462168885628E-5
114,6.837603142776502E-5
115,6.77497682556756E-5
116,6.722435379266516E-5
117,6.67758916444269E-5
118,6.638624349885363E-5
119,6.604164238777202E-5
120,6.573163903272777E-5
121,6.544830167129614E-5
122,6.524040859478427E-5
123,6.499378492549993E-5
124,6.476022532714561E-5
125,6.453661109994519E-5
126,6.432093712139734E-5
127,6.411167784687701E-5
128,6.390767154397624E-5
129,6.370803249622298E-5
130,6.351208441937813E-5
131,5.7608719896748484E-5
132,1.1355439684804927E-4
133,8.232904320662792E-5
134,-1.412491448698479E-5
135,5.684206687473972E-5
136,6.253896203251828E-5
137,6.245458929694763E-5
138,6.209817205669189E-5
139,6.18328097244201E-5
140,6.16225294486449E-5
141,6.14361131703672E-5
142,1.8073022482497148E-4
143,1.3516160070923454E-4
144,1.1165749950273154E-4
145,9.167547089856395E-5
146,7.947471173444287E-5
147,7.197880344991041E-5
148,6.733741178501275E-5
149,6.443367588183539E-5
150,6.259101181830202E-5
151,6.139812823373033E-5
152,6.060422163364035E-5
153,6.005593499177494E-5
154,5.96592753199398E-5
155,5.935651799461522E-5
156,5.911215112615788E-5
157,5.890429561895941E-5
158,5.871945414192764E-5
159,5.8549290343018905E-5
160,5.838864965843786E-5
161,5.823434118275644E-5
162,5.808438696315924E-5
163,5.793755884810274E-5
164,5.779309248166117E-5
165,5.855856175514767E-5
166,5.7911461550163325E-5
167,5.753915777868755E-5
168,5.729433819737403E-5
169,5.710865705037455E-5
170,5.695063398655094E-5
171,5.680583248779369E-5
172,5.6667642418215126E-5
173,5.653303665766446E-5
174,5.6400626386275716E-5
175,5.626977158807406E-5
176,5.614017452682312E-5
177,5.601169399414043E-5
178,5.588426042611132E-5
179,5.5757837101674384E-5
180,5.563240239652104E-5
181,5.550794166065341E-5
182,5.538444349667432E-5
183,5.5261898051829324E-5
184,5.5140296232397774E-5
185,5.501962934108665E-5
186,5.4899888908761964E-5
187,5.4781066615680856E-5
188,5.4663154254080675E-5
189,5.454614370997046E-5
190,5.443002695389644E-5
191,5.431479603594477E-5
192,5.420044308277123E-5
193,5.4086960295623636E-5
194,5.397433994886559E-5
195,5.386257438876488E-5
196,5.375165603243313E-5
197,5.3641577366856754E-5
198,5.3532330947991764E-5
199,5.342390939990385E-5
200,5.331630541394607E-5
201,5.32095117479685E-5
202,5.310352122555464E-5
203,5.299832673528329E-5
204,2.6616324223959093E-5
205,5.1633698580534855E-5
206,3.3301818436698064E-5
207,5.124927630856462E-5
208,5.2370789040025295E-5
209,5.235385730230084E-5
210,5.225991387926869E-5
211,5.216139855630703E-5
212,5.2063253779837686E-5
213,-3.740300049844342E-5
214,3.162879348165279E-5
215,4.7196604268781795E-5
216,5.0638962817957054E-5
217,5.1342828951388235E-5
218,5.142916912081062E-5
219,5.137669010583301E-5
220,5.12934118911539E-5
221,5.120370552978268E-5
222,5.11130662029726E-5
223,5.102272949739442E-5
224,5.093296974518531E-5
225,5.0843844373202814E-5
226,5.0755361892313816E-5
227,5.066751981210978E-5
228,-3.0699294217150424E-5
229,4.641227447944249E-5
230,5.019286883660474E-5
231,5.0301867188618886E-5
232,5.022699753103242E-5
233,5.014346503252621E-5
234,5.00600686305011E-5
235,4.997724548219928E-5
236,4.989501256606634E-5
237,4.981336578695749E-5
238,5.367474577380663E-5
239,5.266908116594134E-5
240,5.18802750741246E-5
241,4.122479523339132E-5
242,4.2977154265674215E-5
243,4.432489777426857E-5
244,4.535705586154425E-5
245,4.6143452483376887E-5
246,5.6642600518577543E-5
247,5.447740610371921E-5
248,5.288501883899764E-5
249,5.170959251947946E-5
250,5.083768178032518E-5
