name,stra.1,stra.15,stra.20,stra.33,stra.65,stra.69,stra.71,stra.100,stra.129,stra.131,stra.135,stra.138,stra.165,stra.195,stra.197,stra.205,stra.229,stra.233,stra.237,stra.257,
2382,0.836657,2.47812e-27,0,0.0903856,0.0280145,0.000889745,1.57505e-06,0,2.90024e-08,7.22869e-11,2.74197e-78,0,2.84759e-50,9.18934e-39,0.0440036,1.87824e-28,4.07879e-05,8.16294e-16,6.44818e-21,3.79233e-31,
2383,0.83666,2.28334e-27,0,0.0903787,0.0280146,0.000889811,1.44819e-06,0,2.90023e-08,6.79115e-11,2.51869e-78,0,2.84617e-50,8.61244e-39,0.0440079,1.87848e-28,4.07063e-05,8.19667e-16,6.43992e-21,3.79216e-31,
2384,0.836662,2.10387e-27,0,0.0903717,0.0280147,0.000889877,1.33155e-06,0,2.90023e-08,6.3801e-11,2.3136e-78,0,2.84474e-50,8.07177e-39,0.0440121,1.87872e-28,4.0625e-05,8.23054e-16,6.43167e-21,3.79198e-31,
2385,0.836665,1.93851e-27,0,0.0903648,0.0280147,0.000889943,1.2243e-06,0,2.90022e-08,5.99392e-11,2.1252e-78,0,2.84332e-50,7.56504e-39,0.0440163,1.87897e-28,4.05438e-05,8.26455e-16,6.42345e-21,3.7918e-31,
2386,0.836668,1.78615e-27,0,0.0903578,0.0280148,0.000890009,1.1257e-06,0,2.90022e-08,5.63112e-11,1.95215e-78,0,2.8419e-50,7.09012e-39,0.0440205,1.87921e-28,4.04629e-05,8.29871e-16,6.41525e-21,3.79162e-31,
2387,0.836671,1.64577e-27,0,0.0903509,0.0280149,0.000890075,1.03503e-06,0,2.90021e-08,5.29028e-11,1.79319e-78,0,2.84048e-50,6.64502e-39,0.0440248,1.87945e-28,4.03822e-05,8.33301e-16,6.40707e-21,3.79144e-31,
2388,0.836673,1.51642e-27,0,0.0903439,0.028015,0.000890141,9.5167e-07,0,2.90021e-08,4.97007e-11,1.64717e-78,0,2.83907e-50,6.22786e-39,0.044029,1.8797e-28,4.03017e-05,8.36746e-16,6.39891e-21,3.79126e-31,
2389,0.836676,1.39724e-27,0,0.0903369,0.0280151,0.000890207,8.75024e-07,0,2.9002e-08,4.66924e-11,1.51305e-78,0,2.83765e-50,5.83689e-39,0.0440332,1.87994e-28,4.02215e-05,8.40205e-16,6.39077e-21,3.79108e-31,
2390,0.836679,1.28743e-27,0,0.09033,0.0280152,0.000890273,8.04552e-07,0,2.9002e-08,4.38662e-11,1.38985e-78,0,2.83623e-50,5.47047e-39,0.0440375,1.88019e-28,4.01415e-05,8.43679e-16,6.38265e-21,3.79091e-31,
2391,0.836682,1.18624e-27,0,0.090323,0.0280153,0.000890339,7.39757e-07,0,2.90019e-08,4.1211e-11,1.27668e-78,0,2.83482e-50,5.12706e-39,0.0440417,1.88043e-28,4.00617e-05,8.47168e-16,6.37456e-21,3.79073e-31,
2392,0.836684,1.09302e-27,0,0.0903161,0.0280154,0.000890405,6.8018e-07,0,2.90019e-08,3.87165e-11,1.17272e-78,0,2.8334e-50,4.8052e-39,0.0440459,1.88067e-28,3.99821e-05,8.50672e-16,6.36648e-21,3.79055e-31,
2393,0.836687,1.00712e-27,0,0.0903091,0.0280155,0.000890471,6.25402e-07,0,2.90018e-08,3.63731e-11,1.07724e-78,0,2.83199e-50,4.50355e-39,0.0440501,1.88092e-28,3.99027e-05,8.54191e-16,6.35842e-21,3.79037e-31,
2394,0.836542,9.27253e-28,0,0.0902835,0.028011,0.000890064,5.74641e-07,0,2.89966e-08,3.41524e-11,9.88842e-79,0,2.82918e-50,4.21726e-39,0.0440298,1.87954e-28,3.97803e-05,8.56986e-16,6.34198e-21,3.79072e-31,
2395,0.83668,8.54416e-28,0,0.0902906,0.0280157,0.000890211,5.28393e-07,0,2.90013e-08,3.2088e-11,9.08379e-79,0,2.82805e-50,3.95263e-39,0.0440379,1.87984e-28,3.97006e-05,8.60553e-16,6.33354e-21,3.79065e-31,
2396,0.836709,7.87271e-28,0,0.0902863,0.0280167,0.000890293,4.85843e-07,0,2.90021e-08,3.01463e-11,8.34423e-79,0,2.82669e-50,3.70452e-39,0.0440429,1.88009e-28,3.96216e-05,8.64117e-16,6.32543e-21,3.79049e-31,
2397,0.836717,7.25399e-28,0,0.0902799,0.028017,0.000890363,4.46716e-07,0,2.90023e-08,2.83217e-11,7.66481e-79,0,2.8253e-50,3.47197e-39,0.0440472,1.88034e-28,3.95429e-05,8.67692e-16,6.31741e-21,3.79032e-31,
2398,0.83672,6.6839e-28,0,0.0902731,0.0280171,0.000890429,4.10739e-07,0,2.90022e-08,2.66074e-11,7.0407e-79,0,2.82389e-50,3.25402e-39,0.0440515,1.88059e-28,3.94644e-05,8.71281e-16,6.30942e-21,3.79014e-31,
2399,0.836723,6.15861e-28,0,0.0902661,0.0280172,0.000890496,3.77661e-07,0,2.90022e-08,2.49969e-11,6.46741e-79,0,2.82248e-50,3.04975e-39,0.0440557,1.88083e-28,3.93861e-05,8.74886e-16,6.30145e-21,3.78997e-31,
2400,0.836726,5.67461e-28,0,0.0902592,0.0280173,0.000890562,3.47246e-07,0,2.90022e-08,2.34838e-11,5.9408e-79,0,2.82107e-50,2.8583e-39,0.04406,1.88108e-28,3.93081e-05,8.78505e-16,6.2935e-21,3.78979e-31,
2401,0.836729,5.22865e-28,0,0.0902522,0.0280174,0.000890628,3.19281e-07,0,2.90021e-08,2.20624e-11,5.45708e-79,0,2.81967e-50,2.67887e-39,0.0440642,1.88132e-28,3.92303e-05,8.82141e-16,6.28557e-21,3.78961e-31,
2402,0.836731,4.81775e-28,0,0.0902452,0.0280175,0.000890694,2.93569e-07,0,2.90021e-08,2.0727e-11,5.01274e-79,0,2.81826e-50,2.5107e-39,0.0440684,1.88157e-28,3.91526e-05,8.85791e-16,6.27766e-21,3.78944e-31,
2403,0.836734,4.43576e-28,0,0.0902379,0.0280159,0.000890587,2.6988e-07,0,2.9002e-08,1.94705e-11,4.60243e-79,0,2.81443e-50,2.35269e-39,0.0440573,1.87945e-28,3.90358e-05,8.88311e-16,6.25769e-21,3.78828e-31,
2404,0.836751,4.08717e-28,0,0.0902325,0.0280165,0.000890666,2.48149e-07,0,2.90025e-08,1.82923e-11,4.22772e-79,0,2.81303e-50,2.20503e-39,0.044062,1.87968e-28,3.89584e-05,8.91982e-16,6.2497e-21,3.78809e-31,
2405,0.836754,3.76597e-28,0,0.0902256,0.0280166,0.000890732,2.28165e-07,0,2.90024e-08,1.71851e-11,3.88348e-79,0,2.81163e-50,2.06661e-39,0.0440663,1.87993e-28,3.88813e-05,8.95673e-16,6.24183e-21,3.78792e-31,
