CURE,Memory-one
1.93871818,1.93872623
1.99653048,1.99653878
2.04488049,2.04488859
2.0859439,2.08595185
2.11789783,2.11790573
1.04930653,1.04932808
1.33821639,1.33822649
1.55337988,1.55338898
1.70510819,1.70511679
1.81812747,1.81813602
1.90505971,1.90506831
1.97441853,1.97442663
2.03092203,2.03093053
2.07789351,2.07790136
2.11750524,2.11751354
2.14827296,2.14828071
1.05608062,1.05609777
1.37069974,1.37070929
1.59658148,1.59659063
1.75111352,1.75112262
1.86402525,1.8640341
1.94992101,1.94992886
2.01754723,2.01755513
2.072209,2.0722169
2.11712056,2.11712866
2.15487583,2.15488383
2.18392061,2.18392796
1.06476432,1.06477887
1.41002437,1.41003387
1.64663546,1.64664476
1.80372984,1.80373874
1.91538346,1.91539176
1.99933834,1.99934644
2.06455957,2.06456752
2.11658197,2.11658947
2.15927979,2.15928784
2.19471185,2.1947197
2.2219982,2.2220057
1.07605549,1.07606854
1.45850826,1.45851786
1.70561892,1.70562742
1.86378611,1.86379461
1.97354947,1.97355757
2.05409824,2.05410659
2.11603086,2.11603846
2.1649858,2.16499375
2.2046104,2.2046181
2.23744281,2.23745066
2.26241537,2.26242282
1.09171845,1.09173175
1.51975251,1.51976166
1.77672277,1.77673147
1.93338824,1.93339594
2.03894664,2.03895464
2.1152386,2.1152471
2.17267357,2.17268157
2.21754999,2.21755799
2.2535828,2.2535903
2.28320842,2.28321607
2.30570153,2.30570898
1.11436132,1.11437357
1.5990444,1.5990529
1.86287471,1.86288341
2.01493002,2.01493802
2.11399728,2.11400553
2.1837744,2.1837824
2.23535201,2.23535976
2.27501981,2.27502741
2.30670343,2.30671128
2.33246417,2.33247152
2.35195995,2.35196735
1.14993574,1.14994649
1.70704751,1.70705636
1.97081021,1.97081861
2.11273882,2.11274677
2.20074139,2.20074924
2.26092899,2.26093684
2.30470219,2.30470984
2.33822648,2.33823368
2.36448028,2.36448763
2.38566316,2.38567071
2.40149222,2.40149932
1.21472675,1.2147372
1.86124021,1.86124856
2.10923122,2.10923957
2.22999593,2.23000348
2.30163871,2.30164641
2.34907902,2.34908667
2.38253866,2.38254596
2.40792234,2.40792959
2.42745538,2.42746283
2.44318185,2.44318935
2.45478488,2.45479263
1.36899936,1.36900916
2.0999546,2.0999624
2.29279931,2.29280696
2.37517247,2.37517997
2.4206221,2.42062945
2.45004348,2.45005053
2.47023613,2.47024343
2.4852013,2.48520835
2.49657279,2.49657974
2.50555177,2.50555902
2.51219948,2.51220638
1.99467048,1.99467848
2.46356906,2.46357611
2.51842681,2.51843386
2.53806472,2.53807217
2.54832646,2.54833371
2.55469915,2.554706
2.55908477,2.55909182
2.5622372,2.5622449
2.56458526,2.56459271
2.56654225,2.56654945
2.56795935,2.56796675
1.04893751,1.04895801
1.32855106,1.32856111
1.54095315,1.54096235
1.69219248,1.69220138
1.80577574,1.80578474
1.89414694,1.89415524
1.96469006,1.96469816
2.02261486,2.02262321
2.07086663,2.07087508
2.11157449,2.11158264
2.1432936,2.1433017
1.05442877,1.05444692
1.35477742,1.35478722
1.5755793,1.57558815
1.72967224,1.72968109
1.84360394,1.84361284
1.93126579,1.93127409
2.00068761,2.00069606
2.05698701,2.05699531
2.10365013,2.10365803
2.14294139,2.14294904
2.17345725,2.1734654
1.062232,1.06224595
1.38857631,1.38858586
1.61971084,1.61971994
1.77673778,1.77674648
1.89017103,1.89017923
1.97637782,1.97638552
2.04361216,2.04362026
2.09795544,2.09796329
2.14267169,2.14267989
2.18005223,2.18005998
2.20887579,2.20888374
1.07184528,1.07185913
1.4294061,1.42941595
1.6709844,1.67099345
1.82972592,1.82973432
1.94194269,1.94195064
2.02572194,2.02572959
2.09053692,2.09054527
2.14232132,2.14232922
2.18444818,2.18445583
2.21956782,2.21957502
2.24648412,2.24649147
1.08450297,1.08451647
1.47953606,1.47954521
1.73109025,1.73109905
1.89029594,1.89030449
1.99989581,1.99990371
2.08037918,2.08038693
2.14183416,2.14184206
2.19028837,2.19029577
2.22940389,2.22941164
2.26176269,2.26177074
2.28642584,2.28643314
1.10201138,1.10202398
1.54284742,1.54285677
1.80315183,1.80316033
1.96016605,1.96017425
2.06535758,2.06536578
2.14117997,2.14118792
2.19782803,2.19783593
2.24223351,2.24224086
2.27775975,2.27776735
2.30682673,2.30683408
2.32893359,2.32894099
1.12705528,1.12706698
1.62455403,1.62456303
1.89024386,1.89025236
